ID,SEX_WITN,AGE_WITN,SEX_PART,ACCURATE,HONEST,MEMORY,COGNITIV,SENIOR_S,SENIOR_H,ACC_Cen,AGEW_Cen,COG_Cen,HON_Cen,MEM_Cen,SENH_Cen,SENS_Cen
219,2,79,1,3,5,3,4,8,5,-1.22,30,-.83,-.91,-1.45,-.52,4.21
222,2,79,1,4,6,5,6,1,8,-.22,30,1.17,.0899999999999999,.55,2.48,-2.79
241,2,79,1,3,6,3,4,1,3,-1.22,30,-.83,.0899999999999999,-1.45,-2.52,-2.79
259,2,79,1,5,7,4,5,2,2,.78,30,.17,1.09,-.45,-3.52,-1.79
263,2,79,1,3,5,4,3,5,10,-1.22,30,-1.83,-.91,-.45,4.48,1.21
1,2,89,1,4,6,3,4,4,6,-.22,40,-.83,.0899999999999999,-1.45,.48,.21
6,1,89,1,5,7,5,5,2,3,.78,40,.17,1.09,.55,-2.52,-1.79
20,2,89,1,5,5,5,5,2,3,.78,40,.17,-.91,.55,-2.52,-1.79
31,2,89,1,2,6,5,7,1,7,-2.22,40,2.17,.0899999999999999,.55,1.48,-2.79
60,1,89,1,2,5,4,5,2,2,-2.22,40,.17,-.91,-.45,-3.52,-1.79
75,1,89,1,2,5,3,4,6,7,-2.22,40,-.83,-.91,-1.45,1.48,2.21
79,2,89,1,6,7,4,5,4,7,1.78,40,.17,1.09,-.45,1.48,.21
101,1,89,1,5,6,4,4,1,2,.78,40,-.83,.0899999999999999,-.45,-3.52,-2.79
105,2,89,1,5,7,6,6,9,3,.78,40,1.17,1.09,1.55,-2.52,5.21
110,1,89,1,5,6,4,5,2,2,.78,40,.17,.0899999999999999,-.45,-3.52,-1.79
113,2,89,1,5,7,6,6,2,3,.78,40,1.17,1.09,1.55,-2.52,-1.79
121,2,89,1,5,7,5,5,8,8,.78,40,.17,1.09,.55,2.48,4.21
123,2,89,1,5,7,5,6,2,5,.78,40,1.17,1.09,.55,-.52,-1.79
127,1,89,1,4,6,4,5,6,6,-.22,40,.17,.0899999999999999,-.45,.48,2.21
132,2,89,1,4,5,4,4,1,3,-.22,40,-.83,-.91,-.45,-2.52,-2.79
136,1,89,1,5,6,5,7,5,10,.78,40,2.17,.0899999999999999,.55,4.48,1.21
139,2,89,1,5,6,4,5,4,4,.78,40,.17,.0899999999999999,-.45,-1.52,.21
145,2,89,1,5,6,6,5,4,5,.78,40,.17,.0899999999999999,1.55,-.52,.21
165,1,89,1,4,7,4,6,1,1,-.22,40,1.17,1.09,-.45,-4.52,-2.79
194,1,89,1,5,6,4,3,5,9,.78,40,-1.83,.0899999999999999,-.45,3.48,1.21
197,1,89,1,4,5,4,5,9,10,-.22,40,.17,-.91,-.45,4.48,5.21
199,1,89,1,5,6,5,5,2,2,.78,40,.17,.0899999999999999,.55,-3.52,-1.79
201,1,89,1,4,6,4,3,6,7,-.22,40,-1.83,.0899999999999999,-.45,1.48,2.21
226,2,89,1,5,6,5,5,5,7,.78,40,.17,.0899999999999999,.55,1.48,1.21
231,2,89,1,4,5,6,5,8,8,-.22,40,.17,-.91,1.55,2.48,4.21
3,2,49,2,5,7,5,6,2,3,.78,0,1.17,1.09,.55,-2.52,-1.79
12,1,49,2,4,6,5,6,3, ,-.22,0,1.17,.0899999999999999,.55, ,-.79
13,1,49,2,3,5,4,5,5,7,-1.22,0,.17,-.91,-.45,1.48,1.21
17,2,49,2,5,6,5,5,1,3,.78,0,.17,.0899999999999999,.55,-2.52,-2.79
21,2,49,2,5,5,5,5,2,7,.78,0,.17,-.91,.55,1.48,-1.79
34,1,49,2,3,7,5,6,1,1,-1.22,0,1.17,1.09,.55,-4.52,-2.79
52,2,49,2,6,7,5,7,8,10,1.78,0,2.17,1.09,.55,4.48,4.21
84,1,49,2,5,5,5,6,2,6,.78,0,1.17,-.91,.55,.48,-1.79
87,1,49,2,4,7,5,5,1,5,-.22,0,.17,1.09,.55,-.52,-2.79
98,1,49,2,3,5,4,4,5,9,-1.22,0,-.83,-.91,-.45,3.48,1.21
135,2,49,2,3,6,3,4,1,6,-1.22,0,-.83,.0899999999999999,-1.45,.48,-2.79
137,1,49,2,3,2,2,3,4,10,-1.22,0,-1.83,-3.91,-2.45,4.48,.21
147,1,49,2,2,5,3,2,1,8,-2.22,0,-2.83,-.91,-1.45,2.48,-2.79
148,2,49,2,5,7,6,6,1,1,.78,0,1.17,1.09,1.55,-4.52,-2.79
153,1,49,2,4,6,5,5,8,9,-.22,0,.17,.0899999999999999,.55,3.48,4.21
158,2,49,2,4,6,5,6,7,9,-.22,0,1.17,.0899999999999999,.55,3.48,3.21
160,2,49,2,3,5,3,4,2,1,-1.22,0,-.83,-.91,-1.45,-4.52,-1.79
161,1,49,2,5,7,3,5,2,3,.78,0,.17,1.09,-1.45,-2.52,-1.79
171,1,49,2,6,5,5,5,7,8,1.78,0,.17,-.91,.55,2.48,3.21
172,1,49,2,4,5,3,3,4,6,-.22,0,-1.83,-.91,-1.45,.48,.21
174,1,49,2,2,5,5,5, ,9,-2.22,0,.17,-.91,.55,3.48, 
177,1,49,2,4,6,6,6, ,3,-.22,0,1.17,.0899999999999999,1.55,-2.52, 
240,1,49,2,5,6,6,5,9,8,.78,0,.17,.0899999999999999,1.55,2.48,5.21
244,2,49,2,5,6,4,4,4,8,.78,0,-.83,.0899999999999999,-.45,2.48,.21
246,1,49,2,3,6,5,4,4,8,-1.22,0,-.83,.0899999999999999,.55,2.48,.21
248,1,49,2,5,7,5,5,3,4,.78,0,.17,1.09,.55,-1.52,-.79
256,1,49,2,4,4,5,5,5,7,-.22,0,.17,-1.91,.55,1.48,1.21
262,1,49,2,3,6,5,5,6,8,-1.22,0,.17,.0899999999999999,.55,2.48,2.21
265,2,49,2,5,4,6,5,1,5,.78,0,.17,-1.91,1.55,-.52,-2.79
267,2,49,2,5,6,5,5,6,6,.78,0,.17,.0899999999999999,.55,.48,2.21
11,1,69,2,3,6,3,3,1,7,-1.22,20,-1.83,.0899999999999999,-1.45,1.48,-2.79
18,2,69,2,3,7,2,7,8,10,-1.22,20,2.17,1.09,-2.45,4.48,4.21
22,2,69,2,4,5,3,4,5,5,-.22,20,-.83,-.91,-1.45,-.52,1.21
26,1,69,2,4,5,5,6,5,6,-.22,20,1.17,-.91,.55,.48,1.21
29,2,69,2,5,6,6,6,3,5,.78,20,1.17,.0899999999999999,1.55,-.52,-.79
35,1,69,2,4,5,5,5,2,3,-.22,20,.17,-.91,.55,-2.52,-1.79
43,2,69,2,3,5,4,4,3,5,-1.22,20,-.83,-.91,-.45,-.52,-.79
46,1,69,2,4,6,5,5,10,10,-.22,20,.17,.0899999999999999,.55,4.48,6.21
